Ticker,Model,MAE,RMSE,Sharpe,Max_Drawdown,CAGR
AAPL,LSTM,0.02105578771865863,0.025997359122648722,0.7633421311206157,-0.33360506191529826,0.18829790421556059
AMZN,LSTM,0.025951630142019944,0.03156724586142973,0.4090754295128069,-0.5614514659377176,0.08562705491012035
BA,LSTM,0.016364550553524496,0.022990218921533176,0.4122868576161112,-0.5622995772520243,0.08757597068165679
BAC,LSTM,0.012690655211497636,0.01720354108427394,0.43181189817743465,-0.46636771300448465,0.08317461314591457
BRK-B,LSTM,0.017288054607314966,0.020062840705591316,0.8824444639999054,-0.26578969324470825,0.14658616560277715
COST,LSTM,0.018159680865219376,0.02321688764033761,1.0530222492806065,-0.3140220765781301,0.23659956274906047
CVX,LSTM,0.013291705189845784,0.017686876073109297,0.5259624327172991,-0.24950646373304486,0.10522736286925238
FDX,LSTM,0.013399847138126848,0.02074746764532718,-0.08044117721912962,-0.5762447605162725,-0.07576330975208667
GIS,LSTM,0.009566037606094625,0.012920894818720519,-0.27741972691452815,-0.5390551966511614,-0.07420463699988045
GS,LSTM,0.017799300337798685,0.022434543352000347,0.9489727767761157,-0.3284161898262373,0.24710016276570035
INTC,LSTM,0.01999503949338523,0.029443604516866912,-0.2234664871868211,-0.7095745774201997,-0.19045081497328786
JNJ,LSTM,0.009748438184450566,0.012586907132946787,-0.5832299743264049,-0.4297746044355173,-0.10489703194807587
JPM,LSTM,0.012772252986371751,0.017168764971368714,-0.21067773455779348,-0.5512395329906503,-0.07741066820867404
MCD,LSTM,0.010776331783298074,0.013502550322364089,0.6651238211903933,-0.17224705404307183,0.10436717645445848
NVDA,LSTM,0.027074525917533954,0.03601491877934133,1.1202930884493703,-0.7277898981449793,0.5681335608463229
ORCL,LSTM,0.018498186730356136,0.027688366252790433,0.589899008266113,-0.4335739875108887,0.16962830222141334
PFE,LSTM,0.013016052947670031,0.01716092238706127,0.04579566386464205,-0.5896024464831802,-0.020451222899129262
SBUX,LSTM,0.018532186357790074,0.024433953520049914,0.06464944270808917,-0.4368131868131857,-0.027592682367018284
T,LSTM,0.010411482808300598,0.01495370144058333,0.3156363643474239,-0.3674480590882432,0.04767141368227357
WMT,LSTM,0.014955252242268098,0.018757193142869086,1.2685630624988313,-0.25738479716423746,0.27318262861740505
XOM,LSTM,0.015565240505041678,0.01945729274859011,-0.8103579347769054,-0.7281620599329433,-0.22078748657185965
