Ticker,Model,MAE,RMSE,Sharpe,Max_Drawdown,CAGR
AAPL,Linear,0.015017170465300508,0.020106156810395768,0.6155857887930902,-0.3227073781269686,0.14245996383533166
AAPL,RandomForest,0.015925996483502233,0.020532337523973092,-0.6730361231807185,-0.6985077833464529,-0.20326819411661523
AAPL,GradientBoosting,0.03105687358855762,0.034975868678312275,0.009335930593475584,-0.5453874116437449,-0.03560250349277427
AAPL,Polynomial,0.0376715287109566,0.05545758671807707,0.1553760930897873,-0.4224261398644218,0.00456598425618715
AMZN,Linear,0.016237166933852503,0.02244435261658686,0.9666079753775785,-0.4507385679485315,0.31844038107633765
AMZN,RandomForest,0.01595265866720993,0.022384994156349522,0.19431304537302993,-0.5167729742499414,0.006857578647463836
AMZN,GradientBoosting,0.016405254929606174,0.022919298900166227,0.35436524713130385,-0.49862685937169926,0.0648650489608722
AMZN,Polynomial,0.024158004188090162,0.041083967959780976,0.5217622166333405,-0.5103224375259331,0.12894210405805917
BA,Linear,0.016982280558192227,0.023650097136328308,-0.3693579974135511,-0.8419871271833033,-0.18404316780681684
BA,RandomForest,0.01649656079110308,0.02305280533318939,0.5584931251040243,-0.4298013344904299,0.14749555810494397
BA,GradientBoosting,0.01655789481094057,0.02317138932017455,0.15158592909343893,-0.5695976819346933,-0.011669424043732168
BA,Polynomial,0.017046739714662237,0.023800399085105492,0.04012195646754615,-0.4780710790321816,-0.05161262844977499
BAC,Linear,0.012769288082303928,0.017418394831544143,-0.2665848728968286,-0.5964911562348875,-0.10292757946180386
BAC,RandomForest,0.013832892724006245,0.018540466181058427,0.30968812848955735,-0.49459220899492906,0.04813911394895776
BAC,GradientBoosting,0.01278897070321669,0.017396499409912124,0.20571145514732014,-0.6086957836874084,0.019068725822520838
BAC,Polynomial,0.016306954711478455,0.0215107198451041,-0.41003272815592284,-0.6089061148174649,-0.13698391500814344
BRK-B,Linear,0.008904835315221049,0.011944684549175829,0.05209324145560845,-0.42963687006773543,-0.005894211901706026
BRK-B,RandomForest,0.008850686515224113,0.011910449322035015,-0.5262923358844359,-0.45903663295492814,-0.10033212845927875
BRK-B,GradientBoosting,0.010110186792320392,0.013150100022194106,-0.784400771764309,-0.5825682380854292,-0.13946699418220831
BRK-B,Polynomial,0.017538296819430494,0.028267055139362417,0.26061143899398365,-0.3274570750883208,0.030541046059650467
COST,Linear,0.012443233310015105,0.01655232386131447,0.562491269278166,-0.4413781924007839,0.10656662886832646
COST,RandomForest,0.010678501840949319,0.014754209091159957,-0.7163891482660047,-0.6815637201443523,-0.16972386149169505
COST,GradientBoosting,0.014665138093607411,0.020482211820580725,-0.7557762743095341,-0.6676568195254149,-0.17700985153835058
COST,Polynomial,0.04694562337285001,0.08588222874536515,0.48229569814334516,-0.3294498793406908,0.08640704008363076
CVX,Linear,0.012706938280945188,0.017180053582563415,0.3001003712970028,-0.4397288043293589,0.04483155104606418
CVX,RandomForest,0.012353212738818049,0.016691865939819785,0.027276753663277146,-0.44139451048287826,-0.02450466713042454
CVX,GradientBoosting,0.011968087671559597,0.0167622723847243,0.19732919847154046,-0.34829802071605576,0.018269274790454926
CVX,Polynomial,0.022570451173134408,0.031003692453748923,-0.6793569511889361,-0.6492752792281855,-0.1835340953275001
FDX,Linear,0.013351035061516954,0.02055054754176251,0.0943509166409737,-0.6135022201299667,-0.021245323380663428
FDX,RandomForest,0.013383743600821832,0.020609959421176178,-0.3220077668925658,-0.611032450848938,-0.14596354788128696
FDX,GradientBoosting,0.013469317384791237,0.020846628578284215,-0.5639810697526519,-0.7911648164100882,-0.21041914698537567
FDX,Polynomial,0.014235631003334913,0.02140467777691011,0.3769596341275219,-0.30829612615306823,0.07254583141365001
GIS,Linear,0.0095814652602383,0.012949686806255937,0.5249644853514387,-0.3720216920330244,0.0898984109123171
GIS,RandomForest,0.01039859234736445,0.013645410002794015,0.17099717630394096,-0.41991495110996235,0.014241044918725576
GIS,GradientBoosting,0.01633568471588208,0.019709397154934607,0.18706481035605518,-0.39432286157228813,0.01756396799881288
GIS,Polynomial,0.01182793441707418,0.015436256490054619,-0.6115249597194432,-0.6482814436315161,-0.1350700616265359
