Ticker,Sharpe,Max_Drawdown,CAGR
AAPL,0.17730471167035947,-0.5392029769552797,0.010638166968968132
AMZN,0.4588363121193144,-0.561452632532826,0.10470541496225749
BA,0.38787513388784817,-0.4827952581499979,0.07775503188973243
BAC,-0.5216020864717775,-0.6314212142167689,-0.16161495629201106
BRK-B,0.3546963405444641,-0.3052031478545999,0.047306864835546136
COST,-0.3092541773154203,-0.6763542830694036,-0.09138040727025609
CVX,-0.5618505838590199,-0.6191400863241665,-0.1578048323313973
DELL,0.16099283411168352,-0.5013044364515421,-0.04689576348559543
FDX,0.28121688480402707,-0.5369965808306474,0.03841265730660326
GIS,0.4204980576478495,-0.36313853020703946,0.06704834676020854
GOOGL,-0.2746771643292523,-0.6057285584263847,-0.13268836025150654
GS,-0.9465142215567479,-0.784212854432974,-0.2550315471596317
HIMS,0.29636473490388093,-0.7075245860990087,-0.18135512916388907
INTC,0.9263992558297065,-0.4767706042050617,0.3788408858944021
JNJ,0.7206113225157733,-0.24752220655744095,0.1119200443191426
JPM,-0.4259428894054389,-0.5684471460190618,-0.12443826493860122
MA,-0.16500548656525407,-0.37541048502143526,-0.05311706323472287
MCD,0.39627326968007626,-0.31828864156852854,0.05452406716673752
META,-1.1455551993823836,-0.7188479205392753,-0.3803827430515285
NFLX,0.21931950202817166,-0.7744525673764782,-0.006470643307872281
NVDA,-0.3588555926346388,-0.9401979920388416,-0.2792530999112055
ORCL,0.0930577189990297,-0.625181606336598,-0.04387318343984459
PFE,0.048472312744256514,-0.4156150217722838,-0.020115114105097698
SBUX,0.06308165094316515,-0.4368290838880594,-0.028140678996594892
T,0.25631238023223085,-0.3546813203738234,0.03317832347459859
TSLA,-0.2408871308808209,-0.8318324108799281,-0.27892619023495624
V,-0.022447415935026277,-0.3331248801197161,-0.02249223863195926
WMT,-0.6059775483962633,-0.6634577327358661,-0.13744125570127608
XOM,-0.8282860952610022,-0.7281181104062002,-0.22446147108954806
