Ticker,Sharpe,MaxDrawdown,N
AAPL,0.9289939269058842,-0.6086672921488291,6339.0
AMZN,0.6630918406516723,-0.8498113164316647,6339.0
BA,0.3730794223713605,-0.7792005308626504,6339.0
BAC,0.3531303962564457,-0.9344570717782752,6339.0
BRK-B,0.5930795615055979,-0.538615833419932,6339.0
COST,0.712526927316124,-0.4803798009158273,6339.0
CVX,0.4617822467791071,-0.5577392481017467,6339.0
DELL,0.7557226869329063,-0.5958774578474719,2157.0
FDX,0.4362168741891226,-0.7131687747164762,6339.0
GIS,0.4420005900591095,-0.45096483655560693,6339.0
GOOGL,0.7628999981424771,-0.652947602867662,5177.0
GS,0.4613373140801165,-0.7884424029385365,6339.0
HIMS,0.6655349123492413,-0.8728536381233933,1384.0
INTC,0.24318307526472133,-0.7152782168940655,6339.0
JNJ,0.5528090666071475,-0.3588005729756907,6339.0
JPM,0.487511619401763,-0.7031758165231332,6339.0
MA,0.8443309650250251,-0.6266527251097097,4732.0
MCD,0.6540073099003159,-0.6350544979156008,6339.0
META,0.8454645190211911,-0.7673609057246624,3225.0
NFLX,0.8281726726645298,-0.8199043380565596,5741.0
NVDA,0.7498706999312532,-0.897224342391283,6339.0
ORCL,0.3907070166166982,-0.7987628996991625,6339.0
PFE,0.19820821169313205,-0.6805581379362742,6339.0
SBUX,0.5500040521527594,-0.8190764416769172,6339.0
T,0.32838927653574257,-0.638784569982147,6339.0
TSLA,0.9504743594228641,-0.7363221744219122,3702.0
V,0.9103484985576785,-0.3636489094135148,4276.0
WMT,0.5537295202358635,-0.3643515778362404,6339.0
XOM,0.40310835387041977,-0.6239597366733542,6339.0
