Open,High,Low,Close,Volume,ADX,RSI,OBV,Ticker
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
,,,,,,,0.0,TSLA
