Ticker,mean,std
AAPL,0.0010643065187413367,0.011517708187837953
AMZN,0.0011970679306698606,0.016173941487332293
BA,0.0009130003298973221,0.012245943194639057
BAC,0.0007680344577082264,0.014170300238410585
BRK-B,0.0005157732017484932,0.007144957091521729
COST,0.0006368562213908357,0.008338716888333372
CVX,0.0006086289173054494,0.00984776568614634
DELL,0.0012353671818840783,0.01518746583030676
FDX,0.0009469849444592973,0.011163998824475748
GIS,0.00048541000385314375,0.006359604814860722
GOOGL,0.0008577531804689256,0.010310798924133483
GS,0.000642609337938268,0.012014105833571261
HIMS,0.003175967589602853,0.030554528180067115
INTC,0.0008928399918113204,0.01336837412076169
JNJ,0.0003251249530261997,0.006034367034925634
JPM,0.000695012594754857,0.012452231232848502
MA,0.0008468722484703846,0.010682138191776627
MCD,0.00042143625963679337,0.007314532034207772
META,0.0010508164289497262,0.0128512592393479
NFLX,0.001740964754022059,0.018605602886941502
NVDA,0.0017503345735989477,0.019419368341799872
ORCL,0.0006617320682460096,0.013456676341358912
PFE,0.0005041822501815212,0.008800588570799206
SBUX,0.000884408322006145,0.010892919023074727
T,0.0004987259328695074,0.008162245609458666
TSLA,0.0017617957646785748,0.020388940199363745
V,0.0007935728770133216,0.00872944299413437
WMT,0.00043731685726376967,0.007435449983255778
XOM,0.0005711687998764569,0.00936842339688576
