Ticker,MAE,RMSE,Sharpe,Max_Drawdown,CAGR
AAPL,0.012676401531521136,0.017746103865465893,0.7246971359099931,-0.33360514669629004,0.17758955091330275
AMZN,0.01571345417532139,0.022057752916069817,0.40495770290031086,-0.5614526325328217,0.08384135791336145
BA,0.016832863167511872,0.02344038459652997,-0.14550806575485034,-0.6742614111894347,-0.11404903408266343
BAC,0.013696967979129572,0.018234178463133428,-0.6509743745457185,-0.6732674761594787,-0.19150531729452935
BRK-B,0.008583325959414563,0.011374270994084832,-1.0038300548806072,-0.6408273596485639,-0.17132428653126397
COST,0.010020814251716024,0.014107754036583505,1.0021091255788692,-0.3140241267488574,0.2204769290444366
CVX,0.015181127489419601,0.01895615104488898,-0.6806666945919161,-0.6865873210172946,-0.18378664365177433
DELL,0.0241425918674853,0.0334938047106203,0.3394142030409676,-0.595877422302233,0.03872615036961102
FDX,0.013215057283344631,0.020434993633107103,0.22511291034620565,-0.5369964821098003,0.019848951603042675
GIS,0.009530655759450767,0.012894735723039603,0.043999641406370686,-0.4446613780601725,-0.011744956158054376
GOOGL,0.01493274435232193,0.020405976792689746,0.7444440949785471,-0.44320050648294296,0.20728796231783098
GS,0.012619708677229797,0.01726899458334232,1.085135464315132,-0.43766274581971587,0.29640726559192254
HIMS,0.046686319247143275,0.0668479589990443,-0.8080178426991769,-0.8834981974081584,-0.7635234385182648
INTC,0.019825833888196615,0.029067148454723028,0.14615548858380228,-0.7079731798426141,-0.038455726705248994
JNJ,0.007681477732971808,0.01058620542434321,0.6164033687776664,-0.184116853145879,0.0932918227313333
JPM,0.011022339488071901,0.015307136539893537,1.0381293923557298,-0.38771591943031947,0.24905827976163564
MA,0.009799497046092535,0.01386283171912772,0.18079318436169953,-0.2533948573648699,0.015694915898748052
MCD,0.008028653535952095,0.01081488904821652,0.6724903117957186,-0.17225338006011315,0.10593285064506186
META,0.01562107813123856,0.022815603686254297,-1.17185434217205,-0.7521240905874097,-0.38150322703970796
NFLX,0.01770271062456946,0.027440220211038462,0.5555847585531852,-0.7594731825161343,0.15329550028706906
NVDA,0.025208984363981668,0.03382643275849059,-0.7226173923025696,-0.9679008962925044,-0.40205221821316506
ORCL,0.015099097627196637,0.024594137079095753,0.8397634585301614,-0.4555181652391337,0.2866604591471038
PFE,0.011653531013749607,0.015884366309377965,-0.08638398397273249,-0.5896199374475674,-0.05202664443404714
SBUX,0.012786688455056669,0.01960549486167732,0.08952547377884816,-0.4368289358464664,-0.019576409110691695
T,0.010295277644325232,0.014756635981458476,0.3631628376273209,-0.35468137326458915,0.0593478606059592
TSLA,0.02767540538025213,0.03783093170475508,0.9997703172664084,-0.5376568011858505,0.5246103094733192
V,0.00887991942064842,0.012437681943300824,-0.5652054497471836,-0.5527659678285799,-0.12227523454754985
WMT,0.008898326516540263,0.013108607864104322,0.9589694164954338,-0.25739676218906704,0.19434921277050377
XOM,0.016447919763318396,0.02038343616523575,-0.9638106613365732,-0.8035587130343638,-0.25683433587487403
